Fecha,Tributarios ,Tributarios (SA)
ene.-04,_-* 2778_-,_-* 2720.56_-
feb.-04,_-* 2710_-,_-* 2936.38_-
mar.-04,_-* 3048_-,_-* 3169.37_-
abr.-04,_-* 3515_-,_-* 2959.51_-
may.-04,_-* 3579_-,_-* 3112.49_-
jun.-04,_-* 3764_-,_-* 3058.81_-
jul.-04,_-* 2851_-,_-* 3124.38_-
ago.-04,_-* 3319_-,_-* 3050.71_-
sept.-04,_-* 2916_-,_-* 3147.81_-
oct.-04,_-* 2706_-,_-* 3049.32_-
nov.-04,_-* 2990_-,_-* 3384.93_-
dic.-04,_-* 2553_-,_-* 3148.31_-
ene.-05,_-* 3385_-,_-* 3215.83_-
feb.-05,_-* 3112_-,_-* 3409.17_-
mar.-05,_-* 3110_-,_-* 3285.37_-
abr.-05,_-* 4125_-,_-* 3434.84_-
may.-05,_-* 3923_-,_-* 3399.47_-
jun.-05,_-* 4541_-,_-* 3760.90_-
jul.-05,_-* 2926_-,_-* 3146.02_-
ago.-05,_-* 4138_-,_-* 3852.43_-
sept.-05,_-* 3342_-,_-* 3573.83_-
oct.-05,_-* 3420_-,_-* 3896.83_-
nov.-05,_-* 3150_-,_-* 3538.59_-
dic.-05,_-* 3110_-,_-* 3869.84_-
ene.-06,_-* 4266_-,_-* 3878.76_-
feb.-06,_-* 3519_-,_-* 3936.17_-
mar.-06,_-* 3767_-,_-* 4039.01_-
abr.-06,_-* 2158_-,_-* 1787.56_-
may.-06,_-* 7126_-,_-* 6136.04_-
jun.-06,_-* 5074_-,_-* 4336.42_-
jul.-06,_-* 4330_-,_-* 4505.58_-
ago.-06,_-* 4660_-,_-* 4505.75_-
sept.-06,_-* 4278_-,_-* 4399.81_-
oct.-06,_-* 4023_-,_-* 4711.74_-
nov.-06,_-* 4025_-,_-* 4409.35_-
dic.-06,_-* 3989_-,_-* 5090.23_-
ene.-07,_-* 5706_-,_-* 4971.30_-
feb.-07,_-* 4144_-,_-* 4766.33_-
mar.-07,_-* 4368_-,_-* 4738.46_-
abr.-07,_-* 3361_-,_-* 2741.21_-
may.-07,_-* 7973_-,_-* 6892.52_-
jun.-07,_-* 5083_-,_-* 4439.80_-
jul.-07,_-* 4991_-,_-* 5057.13_-
