salario_hora,no_ambos_padres_bio,educacion,edad,afqt_score,mujer,hispano,negro
6.7800000000000002,0,12,51,12,1,0,0
43.409999999999997,0,16,49,99,0,0,0
14.35,1,12,45,33,0,0,0
20.190000000000001,0,14,51,43,1,0,0
21.149999999999999,1,14,46,55,0,0,0
40.590000000000003,0,19,46,88,1,0,0
,0,16,45,83,0,0,0
28.629999999999999,0,13,51,63,1,0,0
27.02,1,13,53,84,0,0,0
,0,12,51,,1,0,0
78.340000000000003,0,16,48,94,1,0,0
21.969999999999999,0,16,47,84,1,0,0
26.260000000000002,0,14,50,60,1,0,0
60.890000000000001,1,16,47,96,0,0,0
20,0,16,49,85,1,0,0
,0,13,46,93,1,0,0
25,0,12,49,18,1,0,0
,0,12,51,14,1,0,0
15.289999999999999,1,12,46,,0,1,0
3.2000000000000002,0,18,52,,1,1,0
,0,12,48,,0,1,0
,0,13,51,15,0,0,0
20,1,12,47,,0,0,0
24.170000000000002,0,12,51,60,1,0,0
46.869999999999997,0,12,47,17,1,0,0
23.07,1,12,50,35,0,0,0
20,1,14,50,38,0,0,0
45.450000000000003,1,15,47,45,0,0,0
23.07,0,12,46,20,0,0,0
,1,12,48,9,1,0,0
15,0,12,48,42,1,0,0
30.359999999999999,0,12,51,78,0,0,0
,0,14,51,81,1,0,0
27.190000000000001,1,12,51,87,1,0,0
8.5199999999999996,0,12,46,38,0,1,0
20,0,10,52,,0,0,0
23.460000000000001,0,12,51,38,1,0,0
33.539999999999999,0,17,53,96,1,0,0
20.690000000000001,0,12,50,96,0,0,0
,0,14,47,99,1,0,0
22.109999999999999,0,13,45,30,1,0,0
49.049999999999997,0,16,49,95,0,0,0
,0,14,46,14,0,0,0
240.38,0,18,52,99,0,0,0
,0,16,47,99,1,0,0
56.409999999999997,0,18,45,72,0,0,0
30,0,18,49,,0,0,0
,0,19,47,99,0,0,0
18.949999999999999,0,16,50,91,1,0,0
32.049999999999997,1,18,46,64,0,0,0
38.460000000000001,0,16,47,65,1,0,0
28.84,0,14,45,27,0,0,0
34.18,0,16,45,60,1,0,0
10.550000000000001,0,17,46,60,0,0,0
,0,10,49,4,0,0,1
,0,12,46,13,0,0,1
,0,11,50,1,0,0,1
12.369999999999999,0,9,49,1,1,0,1
16,0,12,47,2,0,0,1
14.4,1,16,52,88,0,0,1
54.32,0,16,51,74,0,0,0
16,0,16,46,19,1,0,0
14.9,1,12,47,33,1,0,0
40.859999999999999,0,12,45,15,0,0,0
21.149999999999999,0,10,53,,0,0,0
22.109999999999999,0,12,49,27,1,0,0
